X;CountryCode;RegionCode;CAPRI_Name;CAPRI;
Aruba;ABW;LAM;Rest of South and Middle America;RSA;
Afghanistan;AFG;OAS;Asian and Ociania LDC;ASOCE_LDC;
Angola;AGO;SSA;Africcan LDCs;AFR_LDC;
Anguilla;AIA;LAM;Rest of South and Middle America;RSA;
Aland Islands;ALA;EUR;Rest of Europe;REU;
Albania;ALB;NEU;Western Balkan countries;WBA;
Andorra;AND;NEU;Rest of Europe;REU;
United Arab Emirates;ARE;MEA;Middle East;MIDEAST;
Argentina;ARG;LAM;Argentina;ARG;
Armenia;ARM;REF;Former Soviet Union nes;FSU;
American Samoa;ASM;OAS;Rest of Asia and Oceania;ASOCE_REST;
Antarctica;ATA;LAM;Rest of South and Middle America;RSA;
French Southern Territories;ATF;OAS;Rest of Asia and Oceania;ASOCE_REST;
Antigua and Barbuda;ATG;LAM;Middle and South America ACP;MSA_ACP;
Australia;AUS;CAZ;Australia and New Zealand;ANZ;
Austria;AUT;EUR;European Union 15;EU015000;
Azerbaijan;AZE;REF;Former Soviet Union nes;FSU;
Burundi;BDI;SSA;Africcan LDCs;AFR_LDC;
Belgium;BEL;EUR;European Union 15;EU015000;
Benin;BEN;SSA;Africcan LDCs;AFR_LDC;
Bonaire, Sint Eustatius and Saba;BES;LAM;Rest of South and Middle America;AFR_LDC;
Burkina Faso;BFA;SSA;Africcan LDCs;AFR_LDC;
Bangladesh;BGD;OAS;Bangladesh;BGD;
Bulgaria;BGR;EUR;Bulgaria & Romania;BUR;
Bahrain;BHR;MEA;Middle East;MIDEAST;
Bahamas;BHS;LAM;Middle and South America ACP;MSA_ACP;
Bosnia and Herzegovina;BIH;NEU;Western Balkan countries;WBA;
Saint Barthelemy;BLM;LAM;Rest of South and Middle America;AFR_LDC;
Belarus;BLR;REF;Former Soviet Union nes;FSU;
Belize;BLZ;LAM;Middle and South America ACP;MSA_ACP;
Bermuda;BMU;LAM;Rest of South and Middle America;AFR_LDC;
Bolivia, Plurinational State of;BOL;LAM;Other South America countries;SA;
Brazil;BRA;LAM;Brazil;BRA;
Barbados;BRB;LAM;Middle and South America ACP;MSA_ACP;
Brunei Darussalam;BRN;OAS;Asian South East;ASI_SE;
Bhutan;BTN;OAS;Asian and Ociania LDC;ASOCE_LDC;
Bouvet Island;BVT;LAM;Africa Rest (practically ACP);AFR_LDC;x
Botswana;BWA;SSA;Africcan LDCs;AFR_LDC;
Central African Republic;CAF;SSA;Africcan LDCs;AFR_LDC;
Canada;CAN;CAZ;Canada;CAN;
Cocos (Keeling) Islands;CCK;OAS;Rest of Asia and Oceania;ASOCE_REST;
China;CHN;CHA;China;CHN;
Switzerland;CHE;NEU;Switzerland;CH;
Chile;CHL;LAM;Other South American countries;SA;
Cote d Ivoire;CIV;SSA;Africa Rest (practically ACP);AFR_LDC;
Cameroon;CMR;SSA;Africa Rest (practically ACP);AFR_LDC;
