X;CountryCode;RegionCode
American Samoa;ASM;NAO
Australia;AUS;NAO
Norfolk Island;NFK;NAO
New Zealand;NZL;NAO
Brazil;BRA;SCA
Canada;CAN;NAO
Saint Pierre and Miquelon;SPM;NAO
China;CHN;EAS
Hong Kong;HKG;EAS
Macao;MAC;EAS
Aland Islands;ALA;NEU
Albania;ALB;XEU
Andorra;AND;SEU
Austria;AUT;WEU
Belgium;BEL;WEU
Bulgaria;BGR;EEU
Bosnia and Herzegovina;BIH;XEU
Switzerland;CHE;XEU
Cyprus;CYP;SEU
Czech Republic;CZE;EEU
Germany;DEU;WEU
Denmark;DNK;NEU
Spain;ESP;SEU
Estonia;EST;NEU
Finland;FIN;NEU
France;FRA;WEU
Faroe Islands;FRO;NEU
United Kingdom;GBR;NEU
Guernsey;GGY;NEU
Gibraltar;GIB;SEU
Greece;GRC;SEU
Greenland;GRL;NEU
Croatia;HRV;EEU
Hungary;HUN;EEU
Isle of Man;IMN;NEU
Ireland;IRL;NEU
Iceland;ISL;XEU
Italy;ITA;SEU
Jersey;JEY;NEU
Liechtenstein;LIE;XEU
Lithuania;LTU;NEU
Luxembourg;LUX;WEU
Latvia;LVA;NEU
Monaco;MCO;SEU
Macedonia, the former Yugoslav Republic of;MKD;XEU
Malta;MLT;SEU
Montenegro;MNE;XEU
Netherlands;NLD;WEU
Norway;NOR;XEU
Poland;POL;EEU
Portugal;PRT;SEU
Romania;ROU;EEU
Svalbard and Jan Mayen;SJM;XEU
San Marino;SMR;SEU
Serbia;SRB;XEU
Slovakia;SVK;EEU
Slovenia;SVN;EEU
Sweden;SWE;NEU
Holy See (Vatican City State);VAT;SEU
Armenia;ARM;FSU
Azerbaijan;AZE;FSU
Belarus;BLR;FSU
Georgia;GEO;FSU
Kazakhstan;KAZ;FSU
Kyrgyzstan;KGZ;FSU
Moldova, Republic of;MDA;FSU
Russian Federation;RUS;FSU
Tajikistan;TJK;FSU
Turkmenistan;TKM;FSU
Ukraine;UKR;FSU
Uzbekistan;UZB;FSU
India;IND;SAS
British Indian Ocean Territory;IOT;SAS
United Arab Emirates;ARE;MEN
Bahrain;BHR;MEN
Algeria;DZA;MEN
Egypt;EGY;MEN
Western Sahara;ESH;MEN
Iran, Islamic Republic of;IRN;MEN
Iraq;IRQ;MEN
Israel;ISR;MEN
Jordan;JOR;MEN
Kuwait;KWT;MEN
Lebanon;LBN;MEN
Libya;LBY;MEN
Morocco;MAR;MEN
Oman;OMN;MEN
Palestine, State of;PSE;MEN
Qatar;QAT;MEN
Saudi Arabia;SAU;MEN
