X;CountryCode;RegionCode
American Samoa;ASM;NAO
Australia;AUS;NAO
Norfolk Island;NFK;NAO
New Zealand;NZL;NAO
Brazil;BRA;SCA
Canada;CAN;NAO
Saint Pierre and Miquelon;SPM;NAO
China;CHN;EAS
Hong Kong;HKG;EAS
Macao;MAC;EAS
Aland Islands;ALA;EUN
Albania;ALB;NEU
Andorra;AND;EUS
Austria;AUT;EUN
Belgium;BEL;EUN
Bulgaria;BGR;EUS
Bosnia and Herzegovina;BIH;NEU
Switzerland;CHE;NEU
Cyprus;CYP;EUS
Czech Republic;CZE;EUS
Germany;DEU;EUN
Denmark;DNK;EUN
Spain;ESP;EUS
Estonia;EST;EUN
Finland;FIN;EUN
France;FRA;EUN
Faroe Islands;FRO;EUN
United Kingdom;GBR;EUN
Guernsey;GGY;EUN
Gibraltar;GIB;EUS
Greece;GRC;EUS
Greenland;GRL;EUN
Croatia;HRV;EUS
Hungary;HUN;EUS
Isle of Man;IMN;EUN
Ireland;IRL;EUN
Iceland;ISL;NEU
Italy;ITA;EUS
Jersey;JEY;EUN
Liechtenstein;LIE;NEU
Lithuania;LTU;EUN
Luxembourg;LUX;EUN
Latvia;LVA;EUN
Monaco;MCO;EUN
Macedonia, the former Yugoslav Republic of;MKD;NEU
Malta;MLT;EUS
Montenegro;MNE;NEU
Netherlands;NLD;EUN
Norway;NOR;NEU
Poland;POL;EUS
Portugal;PRT;EUS
Romania;ROU;EUS
Svalbard and Jan Mayen;SJM;NEU
San Marino;SMR;EUS
Serbia;SRB;NEU
Slovakia;SVK;EUS
Slovenia;SVN;EUS
Sweden;SWE;EUN
Holy See (Vatican City State);VAT;EUS
Armenia;ARM;FSU
Azerbaijan;AZE;FSU
Belarus;BLR;FSU
Georgia;GEO;FSU
Kazakhstan;KAZ;FSU
Kyrgyzstan;KGZ;FSU
Moldova, Republic of;MDA;FSU
Russian Federation;RUS;FSU
Tajikistan;TJK;FSU
Turkmenistan;TKM;FSU
Ukraine;UKR;FSU
Uzbekistan;UZB;FSU
India;IND;SAS
British Indian Ocean Territory;IOT;SAS
United Arab Emirates;ARE;MEN
Bahrain;BHR;MEN
Algeria;DZA;MEN
Egypt;EGY;MEN
Western Sahara;ESH;MEN
Iran, Islamic Republic of;IRN;MEN
Iraq;IRQ;MEN
Israel;ISR;MEN
Jordan;JOR;MEN
Kuwait;KWT;MEN
Lebanon;LBN;MEN
Libya;LBY;MEN
Morocco;MAR;MEN
Oman;OMN;MEN
Palestine, State of;PSE;MEN
Qatar;QAT;MEN
Saudi Arabia;SAU;MEN
